Date,mpshock_sum,mpshock,ff,logip,lopcpi,logwcp,unemps
3/1/1999,-0.302885812,-0.128344564,4.81,4.505149831,5.104732617,3.781901808,4.2
4/1/1999,-0.302885812,0,4.74,4.507859406,5.111385197,3.846633689,4.3
5/1/1999,-0.38587912,-0.082993308,4.74,4.514720176,5.111987788,3.862834378,4.2
6/1/1999,-0.14327127,0.24260785,4.76,4.513048318,5.111987788,3.858117245,4.3
7/1/1999,-0.14327127,0,4.99,4.519357363,5.11619579,3.906986745,4.3
8/1/1999,0.102419805,0.245691076,5.07,4.523557663,5.118592436,3.955439043,4.2
9/1/1999,0.102419805,0,5.22,4.519329033,5.122772794,4.008846265,4.2
10/1/1999,0.016957255,-0.085462551,5.2,4.532576912,5.12455904,4.009585457,4.1
11/1/1999,0.192717743,0.175760488,5.42,4.537288483,5.126342102,4.044826581,4.1
12/1/1999,0.004729972,-0.18798777,5.3,4.544988029,5.128714582,4.065078956,4
1/1/2000,0.004729972,0,5.45,4.545163248,5.131672289,4.085470565,4
2/1/2000,0.103922642,0.09919267,5.73,4.548130942,5.135798437,4.123300586,4.1
3/1/2000,0.122843589,0.018920947,5.85,4.551748312,5.141663557,4.130518987,4
4/1/2000,0.122843589,0,6.02,4.55892518,5.14107859,4.066373743,3.8
5/1/2000,0.485816356,0.362972766,6.27,4.560627737,5.142832464,4.135013494,4
6/1/2000,0.559634416,0.073818061,6.53,4.561587091,5.148656592,4.168506008,4
7/1/2000,0.559634416,0,6.54,4.560074489,5.151555985,4.143888239,4
8/1/2000,0.570238316,0.0106039,6.5,4.557147327,5.151555985,4.158183838,4.1
9/1/2000,0.570238316,0,6.52,4.560998839,5.156753802,4.207930249,3.9
10/1/2000,0.571063611,0.000825295,6.51,4.558047131,5.158480421,4.19196483,3.9
11/1/2000,0.535168894,-0.035894717,6.51,4.558318592,5.160204064,4.203949873,3.9
12/1/2000,0.759933645,0.224764752,6.4,4.555531312,5.162497643,4.11200685,3.9
1/1/2001,0.757651794,-0.002281851,5.98,4.549073796,5.168208681,4.125164049,4.2
2/1/2001,0.757651794,0,5.49,4.542654152,5.170483995,4.134709693,4.2
3/1/2001,0.262633072,-0.495018722,5.31,4.540312681,5.171052016,4.099909942,4.3
4/1/2001,0.262633072,0,4.8,4.537393361,5.172754144,4.113434565,4.4
5/1/2001,-0.183329505,-0.445962578,4.21,4.53126527,5.177843213,4.148637234,4.3
6/1/2001,-0.340847239,-0.157517734,3.97,4.525269468,5.180096735,4.133887071,4.5
7/1/2001,-0.340847239,0,3.77,4.51953931,5.17840707,4.087438982,4.6
8/1/2001,-0.479362732,-0.138515493,3.65,4.518298799,5.17840707,4.09097375,4.9
9/1/2001,-0.479362732,0,3.07,4.514467276,5.18234519,4.055966196,5
10/1/2001,-0.601892119,-0.122529386,2.49,4.510106476,5.179533831,3.951327311,5.3
11/1/2001,-0.843719385,-0.241827267,2.09,4.505195143,5.178970609,3.911308248,5.5
12/1/2001,-1.08117584,-0.237456455,1.82,4.50543051,5.17840707,3.899941193,5.7
1/1/2002,-1.206628486,-0.125452646,1.73,4.511731654,5.180096735,3.913428136,5.7
2/1/2002,-1.206628486,0,1.74,4.511467014,5.18178355,3.936711362,5.7
3/1/2002,-1.532270347,-0.325641861,1.73,4.519590511,5.184588601,4.022954,5.7
4/1/2002,-1.532270347,0,1.75,4.523711727,5.189060381,4.052757451,5.9
5/1/2002,-1.387621968,0.14464838,1.75,4.527930546,5.190175208,4.063025614,5.8
6/1/2002,-1.365140608,0.02248136,1.75,4.537400851,5.190732156,4.054414051,5.8
7/1/2002,-1.365140608,0,1.73,4.535001981,5.192956851,4.092381139,5.8
8/1/2002,-1.250143584,0.114997024,1.74,4.535132841,5.195730778,4.103257382,5.7
9/1/2002,-1.313696583,-0.063552999,1.75,4.536520827,5.197391448,4.142087088,5.7
10/1/2002,-1.649884033,-0.33618745,1.75,4.533495865,5.199601394,4.138721056,5.7
11/1/2002,-1.649884033,0,1.34,4.538702338,5.201255654,4.088777423,5.9
12/1/2002,-1.660987552,-0.011103518,1.24,4.533784812,5.202907182,4.137770307,6
1/1/2003,-1.683324892,-0.022337341,1.24,4.541375921,5.207297968,4.196780958,5.8
2/1/2003,-1.683324892,0,1.26,4.542796786,5.212759478,4.239292475,5.9
3/1/2003,-1.680502271,0.002822621,1.25,4.540480187,5.214392132,4.185589141,5.9
4/1/2003,-1.680502271,0,1.26,4.533305695,5.210578452,4.105858103,6
5/1/2003,-1.686875146,-0.006372875,1.26,4.533586103,5.208939555,4.118653913,6.1
6/1/2003,-1.939817581,-0.252942435,1.22,4.535258321,5.210032452,4.143061089,6.3
7/1/2003,-1.939817581,0,1.01,4.539651985,5.213303992,4.147882682,6.2
8/1/2003,-2.030998663,-0.091181082,1.03,4.538224503,5.217649463,4.173684254,6.1
9/1/2003,-2.24003412,-0.209035457,1.01,4.544093399,5.22089622,4.143747548,6.1
10/1/2003,-2.39847556,-0.158441441,1.01,4.545504042,5.219815138,4.195645587,6
11/1/2003,-2.39847556,0,1,4.553179807,5.220355825,4.209563862,5.8
12/1/2003,-2.476544708,-0.078069148,0.98,4.552467478,5.223054882,4.235701004,5.7
1/1/2004,-2.793125784,-0.316581076,1,4.555018345,5.227358278,4.276241537,5.7
2/1/2004,-2.793125784,0,1.01,4.561058411,5.229503051,4.290716879,5.6
3/1/2004,-2.783116429,0.010009355,1,4.556072375,5.231643233,4.337629246,5.8
4/1/2004,-2.783116429,0,1,4.560575459,5.23324537,4.344832364,5.6
